Ticker,Model,Precision,Specificity,Recall,good_model,min_precision_by_time,init_percentage_of_1s,file_created_after_20_03,Model_type,PM_max_to_prevDayClose_ratio_class,PM_max_vs_PM_max_1dayago_class,AH_max_1dayago_to_Close_class,open_to_prev_close_class,day_of_week,high_quad_q_rel_class,Close_to_prevDayClose_class,features_length,PM_max_to_PM_min_ratio_class,Close_to_Close_1_day_ago_class,AH_max_1dayago_vs_prevDayClose_class,PM_min_to_Close_ratio_class,PM_max_to_dayOpen_ratio_class,PM_time_diff_class,dayOpen_to_prev2DayOpen_ratio_class,dayOpen_to_prevDayClose_class,Close_to_prevDayOpen_class,PM_range_to_close_ratio_class,prev2DayClose_to_prevDayClose_ratio_class,high_quad_p_rel_class,PM_min_to_prevDayOpen_ratio_class,Close_to_open_ratio_class,PM_max_to_Close_ratio_class,time_in_minutes,PM_min_to_prevDayClose_ratio_class,PM_max_to_prevDayOpen_ratio_class,PM_min_to_open_ratio_class,dayOpen_to_prevDayOpen_ratio_class,return_1d_to_return_2d_ratio_class,PM_range_to_open_ratio_class,high_slope_rel_class,return_2d_class,hist_close_ratio_class,AH_max_1dayago_vs_PM_max_class,Close_to_prevDayHigh_class,Open_1_day_ago_to_Close_1_day_ago_ratio_class,date_after_0924,FD_1,FD_2,FD_3,STD_10_class,STD_30_class,close_to_High10_class,Close_to_EMA_48_class,Close_class,date_after_0125,ema_ratio2_class,coef_p_vol_rel_class,PM_volume_max_class,close_to_Low20_class,close_to_High20_class,slope_a_vol_rel_class,date_after_1124
VICI,RF5,0.8387096774193549,0.9816176470588235,0.15294117647058825,1.0,0.78,33.5131247752607,0,RF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,RF1,0.8260869565217391,0.9644444444444444,0.17511520737327188,-1.0,0.86,28.155339805825243,0,RF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,DT6,0.8690476190476191,0.9563492063492064,0.38421052631578945,-1.0,0.87,37.50448189315167,0,DT,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,RF8,1.0,1.0,0.10833333333333334,0.0,1.0,47.29824561403509,0,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTNT,RF8,0.9615384615384616,0.9953703703703703,0.11061946902654868,0.0,0.9090909090909091,47.434996486296555,0,RF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NET,RF8,0.9230769230769231,0.9953051643192489,0.05240174672489083,0.0,0.8333333333333334,53.404255319148945,0,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,RF4,0.875,0.9930313588850174,0.09032258064516129,1.0,0.8125,29.011913104414855,0,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEE,RF5,0.9375,0.9956331877729258,0.07042253521126761,0.0,0.8888888888888888,42.691496837666904,0,RF,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,RF6,1.0,1.0,0.12195121951219512,-1.0,0.9,27.758257203092057,0,RF,0.0,1.0,1.0,0.0,1.0,0.0,0.0,15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,RF8,1.0,1.0,0.07303370786516854,-1.0,1.0,24.982480728801683,0,RF,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
